,date_year,sampleSizeUnit,class,scientificName,depth,institutionCode,shoredistance,flags,maximumDepthInMeters,absence,date_start,minimumDepthInMeters,subclass,basisOfRecord,sss,sex,organismQuantity,sst,family,kingdom,occurrenceID,bathymetry,date_end,organismQuantityType,species,sampleSizeValue,genus,waterBody,vernacularName,id_node,name,lon,lat
0,2004.0,DNA reads,Hydrozoa,Neoturris pileata,10.0,,6836,[],10.0,False,1087171200000.0,10.0,Hydroidolina,MaterialSample,34.79,,0,12.86,Pandeidae,Animalia,6911,51.0,1087171200000.0,DNA sequence reads,Neoturris pileata,68429,Neoturris,,,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993
1,2004.0,DNA reads,Hydrozoa,Neoturris pileata,10.0,,6836,[],10.0,False,1092009600000.0,10.0,Hydroidolina,MaterialSample,34.79,,0,12.86,Pandeidae,Animalia,20764,51.0,1092009600000.0,DNA sequence reads,Neoturris pileata,14632,Neoturris,,,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993
2,2007.0,DNA reads,Hydrozoa,Neoturris pileata,10.0,,6836,[],10.0,False,1184025600000.0,10.0,Hydroidolina,MaterialSample,34.79,,539,12.86,Pandeidae,Animalia,206790,51.0,1184025600000.0,DNA sequence reads,Neoturris pileata,12014,Neoturris,,,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993
3,2015.0,DNA reads,Hydrozoa,Neoturris pileata,10.0,,6836,[],10.0,False,1445472000000.0,10.0,Hydroidolina,MaterialSample,34.79,,0,12.86,Pandeidae,Animalia,766847,51.0,1445472000000.0,DNA sequence reads,Neoturris pileata,46899,Neoturris,,,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993
4,2006.0,DNA reads,Hydrozoa,Neoturris pileata,10.0,,6836,[],10.0,False,1137369600000.0,10.0,Hydroidolina,MaterialSample,34.79,,0,12.86,Pandeidae,Animalia,80134,51.0,1137369600000.0,DNA sequence reads,Neoturris pileata,58996,Neoturris,,,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993
5,2004.0,DNA reads,Hydrozoa,Neoturris pileata,10.0,,6836,[],10.0,False,1103500800000.0,10.0,Hydroidolina,MaterialSample,34.79,,0,12.86,Pandeidae,Animalia,50449,51.0,1103500800000.0,DNA sequence reads,Neoturris pileata,57820,Neoturris,,,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993
6,2008.0,DNA reads,Hydrozoa,Neoturris pileata,10.0,,6836,[],10.0,False,1225756800000.0,10.0,Hydroidolina,MaterialSample,34.79,,0,12.86,Pandeidae,Animalia,264181,51.0,1225756800000.0,DNA sequence reads,Neoturris pileata,121840,Neoturris,,,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993
7,2003.0,DNA reads,Hydrozoa,Neoturris pileata,10.0,,6836,[],10.0,False,1067212800000.0,10.0,Hydroidolina,MaterialSample,34.79,,0,12.86,Pandeidae,Animalia,1035991,51.0,1067212800000.0,DNA sequence reads,Neoturris pileata,39900,Neoturris,,,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993
8,2015.0,DNA reads,Hydrozoa,Neoturris pileata,10.0,,6836,[],10.0,False,1421712000000.0,10.0,Hydroidolina,MaterialSample,34.79,,0,12.86,Pandeidae,Animalia,709456,51.0,1421712000000.0,DNA sequence reads,Neoturris pileata,36756,Neoturris,,,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993
9,2007.0,DNA reads,Hydrozoa,Neoturris pileata,10.0,,6836,[],10.0,False,1177632000000.0,10.0,Hydroidolina,MaterialSample,34.79,,0,12.86,Pandeidae,Animalia,188979,51.0,1177632000000.0,DNA sequence reads,Neoturris pileata,7672,Neoturris,,,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993
