date_year,samplesizeunit,class,scientificname,institutioncode,shoredistance,flags,maximumdepthinmeters,date_start,minimumdepthinmeters,subclass,basisofrecord,sss,sex,sst,family,kingdom,occurrenceid,bathymetry,date_end,species,genus,waterbody,vernacularname,id_node,name,lon,lat,city,country
2004,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2004-06-14,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,6911,51.0,2004-06-14,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2004,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2004-08-09,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,20764,51.0,2004-08-09,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2007,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2007-07-10,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,206790,51.0,2007-07-10,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2015,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2015-10-22,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,766847,51.0,2015-10-22,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2006,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2006-01-16,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,80134,51.0,2006-01-16,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2004,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2004-12-20,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,50449,51.0,2004-12-20,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2008,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2008-11-04,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,264181,51.0,2008-11-04,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2003,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2003-10-27,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,1035991,51.0,2003-10-27,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2015,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2015-01-20,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,709456,51.0,2015-01-20,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2007,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2007-04-27,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,188979,51.0,2007-04-27,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2014,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2014-10-29,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,693624,51.0,2014-10-29,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2001,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2001-07-30,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,109819,51.0,2001-07-30,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2016,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2016-02-03,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,778721,51.0,2016-02-03,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
2016,DNA reads,Hydrozoa,Neoturris pileata,sin datos,6836,sin observaciones,10.0,2016-12-15,10.0,Hydroidolina,MaterialSample,34.79,,12.86,Pandeidae,Animalia,818301,51.0,2016-12-15,Neoturris pileata,Neoturris,,Pileata jellyfish,f92d5d7f-47a6-4605-9fd0-a8538dfde3fd,OBIS UK,-4.1413264,50.3642993,Plymouth,United Kingdom
